Gene Name,CD Name,Common Name,NS Probe ID,Gene Class,Cell Type,IR Type,Immune Response Category,Annotation,Synonyms / Previous Symbols
TNFSF13,CD256,APRIL,NM_003808.3:810,Immune Response,,,"Regulation, TNF Superfamily","CD molecules, Regulation of immune response, TNF superfamily members and their receptors","APRIL, CD256"
TNFSF13B,CD257,BAFF,NM_006573.4:1430,Immune Response,,,"Regulation, TNF Superfamily","CD molecules, Regulation of immune response, TNF superfamily members and their receptors","TNFSF20, BAFF, THANK, BLYS, TALL-1, TALL1, CD257"
TNFSF14,CD258,LIGHT,NM_003807.3:612,Immune Response,,,"Cytokines, Regulation, T-Cell Functions, TNF Superfamily","CD molecules, Cytokines and receptors, Regulators of T-cell activation, TNF superfamily members and their receptors, T-cell regulators, T-cell proliferation","LIGHT, LTg, HVEM-L, CD258"
TNFSF15,,VEGI,NM_001204344.1:2338,Immune Response,,,"Chemokines, TNF Superfamily","Chemokines and receptors, TNF superfamily members and their receptors","TL1, VEGI, TL1A, VEGI192A, MGC129934, MGC129935"
TNFSF18,,TNFSF18,NM_005092.2:175,Immune Response,,,"B-Cell Functions, Cell Functions, T-Cell Functions, TNF Superfamily","T-cell proliferation, TNF superfamily members and their receptors","AITRL, TL6, hGITRL"
TNFSF4,CD252,TNFSF4,NM_003326.2:545,Immune Response,,,"Chemokines, TNF Superfamily","CD molecules, Chemokines and receptors, TNF superfamily members and their receptors","TXGP1, OX-40L, gp34, CD252"
TNFSF8,CD153,TNFSF8,NM_001244.3:518,Immune Response,,,"Cytokines, TNF Superfamily","CD molecules, Cytokines and receptors, TNF superfamily members and their receptors","CD30LG, CD153"
TOLLIP,,TOLLIP,NM_019009.2:1320,Immune Response,,I,,Innate immune response,IL-1RAcPIP
TP53,,p53,NM_000546.2:1330,Immune Response,,,T-Cell Functions,T-cell proliferation,"p53, LFS1"
TPSAB1,,TPSAB1,NM_003294.3:579,Immune Response - Cell Type specific,Mast cells,,Cell Functions,"Basic cell functions, Cell Type specific","TPSB1, TPS1, TPS2"
TPTE,,TPTE,NM_199259.2:142,CT Antigen,,,,,"PTEN2, CT44"
TRAF2,,TRAF2,NM_021138.3:1325,Immune Response,,I,,Innate immune response,TRAP3
TRAF3,,TRAF3,NM_145725.1:1795,Immune Response,,I,,Innate immune response,"CAP-1, CD40bp, CRAF1, LAP1"
TRAF6,,TRAF6,NM_145803.1:1839,Immune Response,,I,,Innate immune response,RNF85
TREM1,CD354,TREM1,NM_018643.3:375,Immune Response,,H,,"CD molecules, Humoral immune response","TREM-1, CD354"
TREM2,,TREM2,NM_018965.3:611,Immune Response,,H,,Humoral immune response,"TREM-2, Trem2a, Trem2b, Trem2c"
TRIM39,,TRIM39,NM_021253.3:3140,HK,,,,,RNF23
TTK,,TTK,NM_003318.3:1200,CT Antigen,,,,,"MPS1, MPS1L1, CT96, MPH1"
TUBB,,TUBB,NM_178014.2:320,HK,,,,,"OK/SW-cl.56, MGC16435, M40, Tubb5"
TXK,,TXK,NM_003328.1:800,Immune Response,,A,,Adaptive immune response,"PTK4, TKL, PSCTK5, BTKL, RLK"
TXNIP,,TXNIP,NM_006472.1:255,Immune Response,,I,,Innate immune response,"VDUP1, EST01027, HHCPA78, THIF"
TYK2,,TYK2,NM_003331.3:485,Immune Response,,I,"Cytokines, Pathogen Defense, Regulation","Cytokines and receptors, Defense response to virus, Innate immune response, Positive regulation of immune response",JTK1
UBC,,UBC,NM_021009.3:1875,Immune Response,,I,,Innate immune response,
ULBP2,,ULBP2,NM_025217.2:905,Immune Response,,,Regulation,Regulation of immune response,RAET1H
USP39,,USP39,NM_001256725.1:806,HK,,,,,"SAD1, CGI-21, SNRNP65"
USP9Y,,USP9Y,NM_004654.3:85,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",DFFRY
VCAM1,CD106,VCAM1,NM_001078.3:2535,Immune Response,,,"Adhesion, Regulation","Adhesion, CD molecules, Regulation of immune response",CD106
VEGFA,,VEGF,NM_001025366.1:1325,Immune Response,,,"Cytokines, Leukocyte Functions","Leukocyte migration, Cytokines and receptors","VEGF, VEGF-A, VPF"
VEGFC,,VEGFC,NM_005429.2:565,Immune Response,,,,Response to drug,VRP
XCL2,,XCL2,NM_003175.3:377,Immune Response,NK cells,,Chemokines,Chemokines and receptors,"SCYC2, SCM-1b"
XCR1,,XCR1,NM_005283.2:700,Immune Response,,F,Chemokines,"Chemokines and receptors, Inflammatory response","GPR5, CCXCR1"
YTHDF2,,NY-REN-2,NM_001172828.1:275,Immune Response,,H,,Humoral immune response,"HGRG8, NY-REN-2"
ZAP70,,ZAP-70,NM_001079.3:1175,Immune Response,,A,,Adaptive immune response,"SRK, ZAP-70, STD"
ZC3H14,,ZC3H14,NM_001160103.1:2690,HK,,,,,"FLJ11806, UKp68, NY-REN-37"
ZKSCAN5,,ZKSCAN5,NM_014569.3:3688,HK,,,,,"ZFP95, ZNF914, ZSCAN37"
ZNF143,,ZNF143,NM_003442.5:925,HK,,,,,"SBF, pHZ-1, STAF"
ZNF205,,ZNF205,NM_001031686.1:573,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","ZNF210, Zfp13"
ZNF346,,ZNF346,NM_012279.2:2260,HK,,,,,"JAZ, Zfp346"
